Ticker,Company,Sector,Industry,MarketCap,Revenue,NetIncome,FreeCashFlow,TotalDebt,Cash,PE_Ratio,EV_to_EBITDA,Price_to_Sales
NVDA,NVIDIA Corporation,Technology,Semiconductors,4534872047616,165217992704,86597001216,52436750336,10597999616.0,56790999040.0,53.21714,45.583,27.44781
AAPL,Apple Inc.,Technology,Consumer Electronics,3900351184896,408624988160,99280003072,94873747456,101698002944.0,55372001280.0,39.821213,27.853,9.545063
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,3892038860800,281723994112,101831999488,61070376960,112184000512.0,94564999168.0,38.472446,24.978,13.815078
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,3146676436992,371399000064,115572998144,49786499072,41668001792.0,95147999232.0,27.710022,21.94,8.472496
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,2391180050432,670038032384,70623002624,31024001024,159570001920.0,93180002304.0,34.12633,18.363,3.568723
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,1854864752640,178803998720,71507001344,31991250944,49559998464.0,47070998528.0,26.810455,19.7,10.373732
AVGO,Broadcom Inc.,Technology,Semiconductors,1672331132928,59925999616,18812999680,23096750080,40456998912.0,11105000448.0,90.80257,5.342,27.906605
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,1442474229760,95632998400,5079000064,2979249920,13788000256.0,41647001600.0,303.30072,131.441,15.083436
NFLX,"Netflix, Inc.",Communication Services,Entertainment,463855517696,43378786304,10431287296,23363989504,17083538432.0,9324392448.0,45.66917,36.363,10.693142
PLTR,Palantir Technologies Inc.,Technology,Software - Infrastructure,438005596160,3440587008,763292032,1269297536,237812000.0,6000421888.0,615.43335,723.226,127.30548
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,413105029120,275235012608,8098999808,5899125248,9934999552.0,15283999744.0,51.272827,31.834,1.5009174
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,410449608704,29600000000,2729999872,2332999936,3886000128.0,5866999808.0,151.44911,74.132,13.866541
ASML,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,400995352576,32212000768,9463199744,9320262656,2704699904.0,5128200192.0,37.04195,32.711,12.448632
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,279214292992,56654000128,10179999744,12958874624,29642999808.0,16673000448.0,27.698038,19.0,4.928413
AZN,AstraZeneca PLC,Healthcare,Drug Manufacturers - General,258635317248,56500998144,8295000064,8967874560,32938999808.0,7107999744.0,31.312029,8.104,4.577535
MU,"Micron Technology, Inc.",Technology,Semiconductors,245842526208,37377998848,8538999808,-891500032,15352000512.0,10307000320.0,28.818422,13.869,6.5771985
TMUS,"T-Mobile US, Inc.",Communication Services,Telecom Services,243577192448,85846999040,11870000128,7874874880,121329999872.0,3310000128.0,20.959576,11.105,2.8373408
SHOP,Shopify Inc.,Technology,Software - Application,224953434112,10014000128,2344999936,907124992,1139000064.0,5820000256.0,96.083336,139.921,22.463894
APP,AppLovin Corporation,Communication Services,Advertising Agencies,209714954240,5737590784,2513516032,2242513408,3510958080.0,1192608000.0,85.51724,61.808,36.55105
LIN,Linde plc,Basic Materials,Specialty Chemicals,209133649920,33244999680,6713999872,3551624960,25920000000.0,4785999872.0,31.743773,17.869,6.29068
PEP,"PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,207220408320,92365996032,7223000064,7137500160,50849001472.0,8661000192.0,28.811787,14.666,2.2434707
ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,193735655424,9612000256,2746899968,1966412544,0.0,4908800000.0,72.48144,55.377,20.155602
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,190991794176,19591788544,5810433024,4278629376,4483942912.0,6693045760.0,33.40969,27.452,9.748564
INTU,Intuit Inc.,Technology,Software - Application,190448910336,18830999552,3868999936,5013875200,,,50.00659,,10.1135845
PDD,PDD Holdings Inc.,Consumer Cyclical,Internet Retail,190175854592,409621528576,97922613248,79216779264,10963319808.0,387131080704.0,14.435346,4.029,0.4642721
INTC,Intel Corporation,Technology,Semiconductors,182442475520,53439000576,198000000,-5009500160,46553001984.0,30934999040.0,1276.0,20.971,3.4140322
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,182231957504,28612999168,6832000000,3332375040,6761999872.0,7014000128.0,27.32975,20.099,6.368852
QCOM,QUALCOMM Incorporated,Technology,Semiconductors,182286270464,43256999936,11573000192,5465999872,14787999744.0,10010999808.0,16.306952,13.486,4.2140293
ARM,Arm Holdings plc,Technology,Semiconductors,180795179008,4120999936,699000000,249875008,396000000.0,2905999872.0,254.74625,189.255,43.871677
BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services,166786449408,25024999424,4813000192,7844125184,19239000064.0,17595000832.0,35.841763,18.823,6.6647935
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,157072457728,34916999168,6618999808,10421999616,56204001280.0,8028000256.0,23.875614,12.71,4.498452
KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials,155759083520,12156162048,4061643008,2753067008,6088282112.0,4494623232.0,38.90855,29.155,12.813179
TXN,Texas Instruments Incorporated,Technology,Semiconductors,153675415552,17265999872,5016000000,-684249984,14046000128.0,5185999872.0,30.75091,20.798,8.900464
GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,150063185920,28863000576,6311000064,8835000320,24945999872.0,6057999872.0,23.996033,12.236,5.199154
ADBE,Adobe Inc.,Technology,Software - Application,147983466496,23181000704,6957000192,8503625216,6655000064.0,5944999936.0,22.026169,16.412,6.383826
PANW,"Palo Alto Networks, Inc.",Technology,Software - Infrastructure,146955436032,9221499904,1133900032,3386425088,417400000.0,2903200000.0,134.85094,107.363,15.936175
HON,Honeywell International Inc.,Industrials,Conglomerates,137224527872,40669999104,6128999936,5684125184,38215000064.0,13358999552.0,22.775553,16.675,3.374097
CRWD,"CrowdStrike Holdings, Inc.",Technology,Software - Infrastructure,132333666304,4341102080,-296985984,1443980160,810528000.0,4972435968.0,,-1403.178,30.483887
CEG,Constellation Energy Corporation,Utilities,Utilities - Renewable,121585123328,24820000768,3008999936,3516250112,8311000064.0,1974000000.0,40.667713,20.186,4.8986754
ADI,"Analog Devices, Inc.",Technology,Semiconductors,117090304000,10386794496,1957676032,3380657152,8706007040.0,3469286912.0,60.56234,26.325,11.272997
ADP,"Automatic Data Processing, Inc.",Technology,Software - Application,113805844480,20560900096,4079699968,3516012544,9205600256.0,7808200192.0,28.178535,19.119,5.5350614
